Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
        0.088, -0.00128775520716, 0.194812178612, 0.137965112925, -96.4607009888, -160.321563721, 5095.23681641, -2.94409680367, 5.65795707703
        0.089, -0.00129892036784, 0.194788813591, 0.13789524138, -97.345199585, -161.108474731, 5095.32128906, -2.93616986275, 5.69076776505
         0.09, -0.00131011125632, 0.194765970111, 0.137826055288, -98.2361679077, -161.885299683, 5095.40722656, -2.92834091187, 5.72314929962
        0.091, -0.00132132030558, 0.19474363327, 0.137757569551, -99.1330871582, -162.652145386, 5095.49511719, -2.92060899734, 5.75510692596
        0.092, -0.00133253936656, 0.194721803069, 0.137689769268, -100.035415649, -163.409133911, 5095.58496094, -2.91297340393, 5.78664541245
        0.093, -0.00134376110509, 0.194700479507, 0.137622669339, -100.942611694, -164.156356812, 5095.67724609, -2.90543365479, 5.81776952744
        0.094, -0.00135497818701, 0.194679632783, 0.137556269765, -101.854095459, -164.89390564, 5095.77197266, -2.89798879623, 5.84848451614
        0.095, -0.00136618409306, 0.194659262896, 0.137490570545, -102.769302368, -165.621871948, 5095.86914062, -2.89063835144, 5.87879371643
        0.096, -0.00137737288605, 0.194639384747, 0.137425556779, -103.687660217, -166.340362549, 5095.96826172, -2.88338160515,  5.9087023735
        0.097, -0.00138853956014, 0.194619983435, 0.137361258268, -104.608627319, -167.049453735,  5096.0703125, -2.8762178421, 5.93821430206
        0.098, -0.00139967957512, 0.19460105896, 0.137297645211, -105.531669617, -167.749237061, 5096.17480469, -2.86914658546, 5.96733379364
        0.099, -0.00141078932211, 0.194582611322, 0.13723474741, -106.45627594, -168.439819336, 5096.28173828, -2.86216711998, 5.99606513977
          0.1, -0.00142186589073, 0.194564625621, 0.137172549963, -107.381980896, -169.121261597, 5096.39160156, -2.85527896881, 6.02441263199
        0.101, -0.00143290683627, 0.194547101855, 0.137111052871, -108.308357239, -169.793685913, 5096.50390625, -2.84848165512, 6.05238056183
        0.102, -0.00144391052891, 0.194530040026, 0.137050271034, -109.234992981, -170.457168579, 5096.61962891, -2.84177398682, 6.07997369766
        0.103, -0.00145487557165, 0.194513455033, 0.136990189552, -110.16153717, -171.111831665, 5096.73779297, -2.83515548706, 6.10719680786
        0.104, -0.00146580091678, 0.194497317076, 0.136930823326, -111.087669373, -171.757766724, 5096.85888672, -2.82862567902, 6.13405323029
        0.105, -0.0014766859822, 0.194481655955, 0.136872172356,  -112.0131073, -172.395080566, 5096.98339844, -2.82218337059, 6.16054916382
        0.106, -0.00148753030226, 0.19446644187, 0.136814236641, -112.937599182, -173.023880005, 5097.11035156, -2.81582832336, 6.18668889999
        0.107, -0.00149833341129, 0.19445168972, 0.136757016182, -113.860923767, -173.644287109, 5097.24072266, -2.80955934525, 6.21247673035
        0.108, -0.00150909507647, 0.194437384605, 0.136700510979, -114.782897949, -174.256393433, 5097.37451172, -2.80337572098, 6.23791790009
        0.109, -0.00151981518138, 0.194423526525, 0.136644721031, -115.703353882, -174.860321045, 5097.51123047, -2.79727697372, 6.26301765442
         0.11, -0.00153049349319, 0.19441011548, 0.136589646339, -116.622146606, -175.456192017, 5097.65136719, -2.79126167297, 6.28778028488
        0.111, -0.0015411300119, 0.19439715147, 0.136535301805, -117.539146423, -176.044113159, 5097.79443359, -2.78532958031, 6.31221103668
        0.112, -0.00155172438826, 0.194384619594, 0.136481672525, -118.454246521, -176.624191284, 5097.94091797, -2.77947974205, 6.33631467819
        0.113, -0.00156227685511, 0.194372519851, 0.136428758502, -119.367355347, -177.196548462, 5098.09082031, -2.77371096611, 6.36009645462
        0.114, -0.0015727870632, 0.194360852242, 0.136376574636, -120.278388977, -177.761291504, 5098.24414062, -2.76802301407,  6.3835606575
        0.115, -0.00158325524535, 0.194349616766, 0.136325106025, -121.187278748, -178.318557739, 5098.40039062, -2.76241469383, 6.40671253204
        0.116, -0.00159368140157, 0.194338783622, 0.136274382472, -122.093948364, -178.868423462, 5098.56054688, -2.75688529015, 6.42955636978
        0.117, -0.00160406564828, 0.194328382611, 0.136224374175, -122.99836731, -179.411026001, 5098.72363281, -2.75143384933, 6.45209741592
        0.118, -0.00161440833472, 0.194318398833, 0.136175096035, -123.900474548, -179.946456909,   5098.890625, -2.74605989456, 6.47433996201
        0.119, -0.00162470981013, 0.194308802485, 0.136126548052, -124.800254822, -180.474853516, 5099.06054688, -2.74076247215,  6.4962887764
         0.12, -0.00163497030735, 0.19429962337, 0.136078730226, -125.697662354, -180.996292114,   5099.234375, -2.73554086685, 6.51794862747
        0.121, -0.00164519040845, 0.194290831685, 0.136031642556, -126.592704773, -181.510910034, 5099.41162109, -2.7303943634, 6.53932380676
        0.122, -0.0016553705791, 0.19428242743, 0.135985299945, -127.485351562, -182.018798828, 5099.59179688, -2.72532200813, 6.56041908264
        0.123, -0.0016655116342, 0.194274410605, 0.13593968749, -128.375610352, -182.520080566, 5099.77587891, -2.72032308578, 6.58123826981
        0.124, -0.001675613923, 0.194266781211, 0.135894820094, -129.263504028, -183.014846802, 5099.96337891, -2.7153968811,  6.6017870903
        0.125, -0.0016856782604, 0.194259524345, 0.135850697756, -130.149017334, -183.503204346, 5100.15380859, -2.71054267883, 6.62206840515
        0.126, -0.0016957053449, 0.194252640009, 0.135807305574, -131.032180786, -183.985275269, 5100.34814453, -2.70575976372,  6.6420879364
        0.127, -0.00170569564216,  0.1942461133, 0.135764658451, -131.913024902, -184.461135864, 5100.54589844, -2.7010474205, 6.66184902191
        0.128, -0.00171564996708, 0.19423994422, 0.135722771287,  -132.7915802, -184.930908203, 5100.74658203, -2.69640469551, 6.68135643005
        0.129, -0.00172556866892, 0.194234132767, 0.13568161428, -133.667861938, -185.394683838, 5100.95117188, -2.69183111191, 6.70061397552
         0.13, -0.00173545244616, 0.194228664041, 0.135641217232, -134.541900635, -185.852584839, 5101.15869141, -2.68732571602, 6.71962594986
        0.131, -0.00174530176446, 0.194223552942, 0.135601580143, -135.413742065, -186.304672241, 5101.36962891, -2.68288803101, 6.73839664459
        0.132, -0.00175511685666, 0.194218754768, 0.135562688112, -136.283416748, -186.751068115, 5101.58398438, -2.67851758003, 6.75692939758
        0.133, -0.00176489818841, 0.194214299321, 0.135524556041, -137.150939941, -187.191864014, 5101.80175781, -2.67421317101,  6.7752289772
        0.134, -0.00177464587614, 0.194210156798, 0.135487169027, -138.016357422, -187.62713623, 5102.02246094, -2.66997456551, 6.79329824448
        0.135, -0.00178436026908,  0.1942063272, 0.135450556874, -138.879699707, -188.057006836, 5102.24658203, -2.66580080986, 6.81114149094
        0.136, -0.00179404125083, 0.194202825427, 0.13541470468, -139.740966797, -188.481536865, 5102.47412109, -2.66169166565, 6.82876205444
        0.137, -0.00180368905421, 0.194199606776, 0.135379612446, -140.600189209, -188.90083313, 5102.70458984, -2.6576461792, 6.84616374969
        0.138, -0.0018133034464, 0.19419670105, 0.135345295072, -141.457382202, -189.314956665, 5102.93847656, -2.65366411209, 6.86334991455
        0.139, -0.00182288431097, 0.194194078445, 0.135311737657, -142.312561035, -189.724014282, 5103.17480469, -2.64974451065, 6.88032436371
         0.14, -0.00183243164793, 0.194191738963, 0.135278955102, -143.165725708, -190.128067017, 5103.41503906, -2.64588689804, 6.89708995819
        0.141, -0.00184194522444, 0.194189682603, 0.135246947408, -144.016876221, -190.52722168, 5103.65771484, -2.64209079742, 6.91365003586
        0.142, -0.00185142457485, 0.194187894464, 0.135215714574, -144.866012573, -190.921524048, 5103.90380859, -2.63835573196, 6.93000793457
        0.143, -0.00186086934991, 0.194186374545,  0.1351852566, -145.713119507, -191.311065674, 5104.15234375, -2.63468122482, 6.94616651535
        0.144, -0.00187027931679, 0.194185107946, 0.135155588388, -146.558181763, -191.695922852, 5104.40429688, -2.63106679916, 6.96212863922
        0.145, -0.00187965400983, 0.194184109569, 0.135126695037, -147.401184082, -192.076156616, 5104.65869141, -2.62751150131, 6.97789764404
        0.146, -0.00188899284694, 0.194183334708, 0.135098591447, -148.242111206, -192.451828003, 5104.91650391, -2.62401556969,   6.993475914
        0.147, -0.00189829536248, 0.194182813168, 0.135071262717, -149.080917358, -192.823028564, 5105.17675781, -2.62057805061, 7.00886631012
        0.148, -0.00190756097436, 0.194182530046, 0.13504473865, -149.91758728, -193.189804077, 5105.43945312, -2.61719846725, 7.02407217026
        0.149, -0.00191678910051, 0.19418245554, 0.135018989444, -150.752075195, -193.552230835, 5105.70556641, -2.61387681961, 7.03909492493
         0.15, -0.00192597904243, 0.194182619452,  0.1349940449, -151.584320068, -193.910354614, 5105.97363281, -2.61061215401, 7.05393838882
        0.151, -0.00193513010163, 0.194182991982, 0.134969905019, -152.414306641, -194.264251709, 5106.24462891, -2.60740447044, 7.06860399246
        0.152, -0.00194424146321, 0.194183573127, 0.134946539998, -153.241973877, -194.613967896, 5106.51855469, -2.60425305367, 7.08309459686
        0.153, -0.0019533126615, 0.194184362888, 0.134923994541, -154.067260742, -194.959564209, 5106.79443359, -2.60115790367, 7.09741258621
        0.154, -0.00196234253235, 0.194185346365, 0.134902238846, -154.890106201, -195.301101685, 5107.07324219, -2.59811830521, 7.11155986786
        0.155, -0.00197133049369, 0.194186523557, 0.134881287813, -155.710464478, -195.638641357, 5107.35449219, -2.59513401985, 7.12553882599
        0.156, -0.00198027584702, 0.194187894464, 0.134861156344, -156.528244019, -195.972198486, 5107.63769531, -2.59220457077, 7.13935184479
        0.157, -0.00198917742819, 0.194189429283, 0.134841814637, -157.343399048, -196.301864624, 5107.92382812, -2.58932971954,  7.1530008316
        0.158, -0.0019980345387, 0.194191142917, 0.134823292494, -158.155838013, -196.627670288, 5108.21191406, -2.58650922775, 7.16648769379
        0.159, -0.00200684624724, 0.194193035364, 0.134805575013, -158.965515137, -196.949661255, 5108.50195312, -2.58374261856, 7.17981481552
         0.16, -0.00201561162248, 0.194195076823, 0.134788677096, -159.772323608, -197.26789856, 5108.79492188, -2.58102941513, 7.19298362732
        0.161, -0.00202432996593, 0.194197282195, 0.134772583842, -160.576187134, -197.582397461, 5109.08935547, -2.57836961746, 7.20599651337
        0.162, -0.00203299988061, 0.194199636579, 0.134757325053, -161.377029419, -197.893234253, 5109.38623047, -2.57576274872, 7.21885442734
        0.163, -0.00204162113369, 0.194202139974, 0.134742870927, -162.174758911, -198.200439453, 5109.68505859, -2.57320857048, 7.23156023026
        0.164, -0.00205019232817, 0.194204777479, 0.134729236364, -162.969314575, -198.504043579, 5109.98583984, -2.57070660591, 7.24411487579
        0.165, -0.00205871276557, 0.194207563996, 0.134716421366, -163.760574341, -198.804107666, 5110.28857422, -2.56825685501,  7.2565202713
        0.166, -0.00206718151458, 0.194210469723, 0.134704425931, -164.548461914, -199.100662231, 5110.59326172, -2.56585884094, 7.26877832413
        0.167, -0.00207559764385, 0.19421350956, 0.13469325006, -165.332901001, -199.393753052, 5110.89990234, -2.56351208687, 7.28088998795
        0.168, -0.00208396045491, 0.194216653705, 0.134682908654, -166.11378479, -199.683395386, 5111.20800781, -2.56121683121, 7.29285764694
        0.169, -0.0020922687836, 0.19421993196, 0.134673386812, -166.891036987, -199.969650269, 5111.51806641, -2.5589723587, 7.30468225479
         0.17, -0.00210052193142, 0.194223299623, 0.134664699435, -167.664550781, -200.252548218, 5111.82958984, -2.55677843094, 7.31636571884
        0.171, -0.0021087191999, 0.194226786494, 0.134656831622, -168.434249878, -200.532104492, 5112.14257812, -2.55463480949, 7.32790899277
        0.172, -0.00211685989052, 0.194230377674, 0.134649783373, -169.200027466, -200.808395386, 5112.45751953, -2.55254149437, 7.33931398392
        0.173, -0.00212494260632, 0.194234058261, 0.134643569589, -169.96182251, -201.08140564, 5112.77392578, -2.55049777031,  7.3505821228
        0.174, -0.00213296734728, 0.194237828255, 0.134638175368, -170.719512939, -201.351211548, 5113.09179688, -2.54850387573,  7.3617143631
