Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
        0.079, -0.000997835537419, 0.194275900722, 0.137409582734, -90.1966705322, -172.228210449, 5094.71142578, -2.85645294189, 6.33054733276
         0.08, -0.000991365173832, 0.194248020649, 0.137335494161, -88.8284378052, -172.997512817, 5094.76025391, -2.84855818748, 6.36322021484
        0.081, -0.000994088244624, 0.194220915437, 0.137262374163, -87.5028915405, -173.750732422, 5094.80908203, -2.84081125259, 6.39521455765
        0.082, -0.00100568810012, 0.19419464469, 0.137190207839, -86.2569274902, -174.488296509, 5094.85791016, -2.83320856094, 6.42655992508
        0.083, -0.00102570478339, 0.194169253111, 0.137118980289, -85.1244506836, -175.210662842,    5094.90625, -2.82574677467, 6.45728540421
        0.084, -0.00105354958214, 0.194144785404, 0.137048691511, -84.1358718872, -175.918197632, 5094.95507812, -2.8184223175, 6.48741912842
        0.085, -0.00108852155972, 0.194121271372, 0.136979311705, -83.3177108765, -176.611328125, 5095.00390625, -2.81123256683, 6.51698637009
        0.086, -0.00112982466817, 0.194098755717, 0.13691085577, -82.6923294067, -177.290420532, 5095.05273438, -2.80417394638, 6.54601287842
        0.087, -0.00117658649106, 0.194077268243, 0.136843293905, -82.2777175903, -177.955841064, 5095.10253906, -2.79724383354, 6.57451963425
        0.088, -0.00122787698638, 0.194056808949, 0.136776611209, -82.0873336792, -178.607940674, 5095.15283203, -2.79043912888, 6.60252809525
        0.089, -0.00128272746224, 0.194037422538, 0.136710807681, -82.1301040649, -179.247055054, 5095.20458984, -2.7837574482, 6.63005590439
         0.09, -0.00134015001822, 0.194019109011, 0.136645883322, -82.4104614258, -179.87348938, 5095.25732422, -2.7771961689, 6.65711927414
        0.091, -0.00139915547334, 0.194001838565, 0.136581793427, -82.9284591675, -180.487564087, 5095.31152344, -2.77075266838, 6.68373155594
        0.092, -0.00145877117757, 0.193985641003, 0.136518567801, -83.6799621582, -181.089538574,  5095.3671875, -2.76442503929, 6.70990371704
        0.093, -0.00151805765927, 0.193970501423, 0.136456146836, -84.6569137573, -181.679702759, 5095.42529297, -2.75821065903, 6.73564624786
        0.094, -0.00157612364274, 0.193956375122, 0.136394575238, -85.8476715088, -182.258270264, 5095.48583984, -2.75210809708, 6.76096582413
        0.095, -0.0016321396688, 0.193943247199, 0.136333793402, -87.2373352051, -182.825515747, 5095.54882812, -2.74611496925, 6.78586864471
        0.096, -0.00168535031844, 0.193931102753, 0.136273816228, -88.8082046509, -183.381622314, 5095.61425781, -2.74022960663, 6.81035757065
        0.097, -0.00173508399166, 0.193919882178, 0.136214643717, -90.5401687622, -183.926834106, 5095.68359375, -2.73445057869, 6.83443641663
        0.098, -0.00178076117299, 0.193909555674, 0.136156246066, -92.4112243652, -184.461334229, 5095.75585938, -2.72877597809, 6.85810565948
        0.099, -0.00182190048508, 0.193900078535, 0.136098623276, -94.3979110718, -184.985290527, 5095.83154297, -2.72320437431,  6.8813662529
          0.1, -0.00185812287964, 0.19389142096, 0.136041775346, -96.4757995605, -185.498916626, 5095.91113281, -2.71773433685, 6.90421819687
        0.101, -0.00188915373292, 0.193883508444, 0.135985687375, -98.6199951172, -186.002349854, 5095.99462891, -2.7123644352, 6.92666006088
        0.102, -0.00191482284572, 0.193876311183, 0.135930359364, -100.805557251, -186.495773315, 5096.08203125, -2.70709347725, 6.94869184494
        0.103, -0.0019350630464, 0.193869769573, 0.13587577641, -103.007972717,  -186.9793396, 5096.17382812, -2.70192027092, 6.97031164169
        0.104, -0.00194990634918, 0.193863838911, 0.135821938515, -105.203575134, -187.453216553, 5096.27001953, -2.6968433857,  6.9915189743
        0.105, -0.0019594791811, 0.193858474493, 0.135768860579, -107.369903564, -187.917541504, 5096.37060547, -2.69186162949, 7.01231336594
        0.106, -0.00196399609558, 0.193853631616, 0.135716497898, -109.486053467, -188.372467041, 5096.47558594, -2.6869738102, 7.03269481659
        0.107, -0.00196375069208, 0.193849265575, 0.135664895177, -111.532989502, -188.818161011, 5096.58496094, -2.68217897415,  7.0526638031
        0.108, -0.00195910874754, 0.193845331669, 0.135614022613, -113.493766785, -189.254745483, 5096.69873047, -2.67747545242, 7.07222175598
        0.109, -0.00195049692411, 0.193841785192, 0.135563880205, -115.353790283, -189.682388306, 5096.81738281, -2.67286276817, 7.09137058258
         0.11, -0.00193839240819, 0.193838596344, 0.135514467955, -117.100891113, -190.101257324, 5096.93994141, -2.66833901405, 7.11011314392
        0.111, -0.00192331336439, 0.193835750222, 0.135465800762, -118.725494385, -190.511474609, 5097.06738281, -2.66390347481,  7.1284532547
        0.112, -0.00190580647904, 0.193833217025, 0.135417848825, -120.22064209, -190.913223267, 5097.19921875, -2.65955495834, 7.14639520645
        0.113, -0.00188643659931, 0.193830952048, 0.135370641947, -121.582000732, -191.306655884, 5097.33496094, -2.65529203415, 7.16394519806
        0.114, -0.0018657760229, 0.193828955293, 0.135324180126, -122.807815552, -191.691925049, 5097.47558594, -2.65111351013, 7.18110895157
        0.115, -0.00184439343866, 0.193827211857, 0.135278433561, -123.89881897, -192.069213867, 5097.61962891, -2.6470181942, 7.19789409637
        0.116, -0.0018228442641, 0.193825721741, 0.135233446956, -124.858108521, -192.438674927, 5097.76806641, -2.64300489426, 7.21430826187
        0.117, -0.00180166133214, 0.193824455142, 0.135189190507, -125.690994263, -192.800476074, 5097.91992188, -2.63907241821, 7.23036050797
        0.118, -0.00178134639282, 0.193823441863, 0.135145664215, -126.404777527, -193.154800415, 5098.07617188, -2.63521933556, 7.24605989456
        0.119, -0.0017623626627, 0.193822652102, 0.135102897882, -127.008552551, -193.501815796, 5098.23535156, -2.63144445419, 7.26141643524
         0.12, -0.00174512818921, 0.193822130561, 0.135060876608, -127.512931824, -193.841690063, 5098.39892578, -2.62774634361, 7.27644062042
        0.121, -0.00173001049552, 0.193821847439, 0.13501958549, -127.929824829, -194.174606323, 5098.56542969, -2.62412405014, 7.29114341736
        0.122, -0.0017173223896, 0.193821817636, 0.134979069233, -128.272140503, -194.500732422, 5098.73535156, -2.62057590485,  7.3055357933
        0.123, -0.00170731858816, 0.193822085857, 0.134939298034, -128.553527832, -194.820251465, 5098.90869141, -2.61710095406, 7.31962966919
        0.124, -0.00170019420329, 0.193822622299, 0.134900271893, -128.78805542, -195.133331299, 5099.08496094, -2.61369800568, 7.33343601227
        0.125, -0.00169608381111, 0.193823471665, 0.134862005711, -128.990020752, -195.440139771, 5099.26464844, -2.61036539078, 7.34696674347
        0.126, -0.00169506145176, 0.193824648857, 0.134824514389, -129.173583984, -195.740844727, 5099.44726562, -2.60710215569, 7.36023283005
        0.127, -0.00169714249205, 0.193826153874, 0.134787768126, -129.352615356, -196.035629272, 5099.63330078, -2.60390710831, 7.37324523926
        0.128, -0.0017022859538, 0.19382801652, 0.134751781821, -129.540390015, -196.324630737, 5099.82177734, -2.60077905655, 7.38601589203
        0.129, -0.00171039730776, 0.193830236793, 0.134716570377, -129.749435425, -196.608032227, 5100.01367188, -2.59771704674, 7.39855480194
         0.13, -0.00172133301385, 0.193832844496, 0.134682118893, -129.991256714, -196.885971069, 5100.20800781, -2.59471940994, 7.41087150574
        0.131, -0.00173490552697, 0.193835839629, 0.134648442268, -130.276275635, -197.158599854, 5100.40576172, -2.59178566933, 7.42297649384
        0.132, -0.00175088772085, 0.193839237094, 0.134615525603, -130.613632202, -197.426055908, 5100.60595703, -2.5889146328,  7.4348783493
        0.133, -0.00176901952364, 0.193843051791, 0.134583383799, -131.011108398, -197.68850708, 5100.80957031, -2.58610510826, 7.44658517838
        0.134, -0.00178901373874, 0.193847283721, 0.134552001953, -131.474975586, -197.946044922, 5101.01611328, -2.58335638046, 7.45810413361
        0.135, -0.00181056244764, 0.193851932883, 0.134521394968, -132.010101318, -198.198822021, 5101.22558594, -2.58066749573, 7.46944332123
        0.136, -0.00183334329631, 0.193857014179, 0.134491562843, -132.619735718, -198.44694519, 5101.43798828, -2.57803750038, 7.48060750961
        0.137, -0.00185702589806, 0.193862512708, 0.134462490678, -133.30569458, -198.690551758, 5101.65380859, -2.57546567917, 7.49160289764
        0.138, -0.0018812782364, 0.193868428469, 0.134434193373, -134.068283081, -198.929718018, 5101.87255859, -2.57295131683, 7.50243425369
        0.139, -0.00190577236935, 0.193874761462, 0.134406685829, -134.906402588, -199.16456604, 5102.09423828, -2.5704934597, 7.51310491562
         0.14, -0.00193019036669, 0.193881511688, 0.134379938245, -135.817611694, -199.395187378, 5102.31933594, -2.56809186935, 7.52361822128
